Year,Production,Radio-Station,YouTube-UserID,URL
2014,Little Mermaid The Aqua-Terrestrial ,KPIG,TheLPRT,https://www.youtube.com/watch?v=stJymGf8MIA
2014,Little Mermaid The Aqua-Terrestrial ,KSCO,TheLPRT,https://www.youtube.com/watch?v=kj3Kg3nvZKc
2015,Back the the Beanstalk: Snow White and the Seven Scientists,KPIG,TheLPRT,https://www.youtube.com/watch?v=9s5i8S6Kqh4
2015,Back the the Beanstalk: Snow White and the Seven Scientists,KPIG,CalamityJane831,https://www.youtube.com/watch?v=npcdTAZN7Yc
2015,Back the the Beanstalk: Snow White and the Seven Scientists,KSCO,TheLPRT,https://www.youtube.com/watch?v=FTLcrdhl6PU
2016,Dorothy Potter and the Wizards of Oz,KPIG,TheLPRT,https://www.youtube.com/watch?v=DTOP3UXz3gA
2016,Dorothy Potter and the Wizards of Oz,KSCO,TheLPRT,https://www.youtube.com/watch?v=h-gryYsn4dI
2017,Peter Pamilton,KPIG,TheLPRT,https://www.youtube.com/watch?v=3629L-rEgtA
2017,Peter Pamilton,KSCO,TheLPRT,https://www.youtube.com/watch?v=zZnrf0Mzj_o
2018,Wilder Things: Welcome to the Jungle Book,KPIG,TheLPRT,https://www.youtube.com/watch?v=A8ZbeV8oxhM
2018,Wilder Things: Welcome to the Jungle Book,KSCO,TheLPRT,https://www.youtube.com/watch?v=BgtwRoBVC_Q
2019,Pinocchio: A Bot-Treemian Rhapsody,KPIG,TheLPRT,https://www.youtube.com/watch?v=jBwP15pYlt4
2019,Pinocchio: A Bot-Treemian Rhapsody,KSCO,TheLPRT,https://www.youtube.com/watch?v=E3mnQRDS0MQ
2022,"Survivor: Surf City, A Mermaid Odyssey",KBCZ,TheLPRT,https://www.youtube.com/watch?v=uJ5onq8udw8
2023,Snowdo White and the Fellowship of the Mirror,KBCZ,TheLPRT,https://www.youtube.com/watch?v=caxG2hBZ5-c
2024,The Wizard of tOyZ,KBCZ,TheLPRT,https://www.youtube.com/watch?v=S1AqqFnFKA8
